Ciclo 1: {'Temperatura': 20.13, 'Umidade': 58.15, 'Pressao': 1006.4}
Ciclo 2: {'Temperatura': 28.51, 'Umidade': 43.73, 'Pressao': 1013.09}
Ciclo 3: {'Temperatura': 22.69, 'Umidade': 52.89, 'Pressao': 1005.61}
Ciclo 4: {'Temperatura': 25.73, 'Umidade': 45.56, 'Pressao': 1018.6}
Ciclo 5: {'Temperatura': 22.84, 'Umidade': 58.86, 'Pressao': 1008.81}
Ciclo 6: {'Temperatura': 25.58, 'Umidade': 43.73, 'Pressao': 1013.57}
Ciclo 7: {'Temperatura': 23.78, 'Umidade': 40.52, 'Pressao': 1003.59}
Ciclo 8: {'Temperatura': 21.35, 'Umidade': 42.62, 'Pressao': 1003.41}
Ciclo 9: {'Temperatura': 21.49, 'Umidade': 43.95, 'Pressao': 1017.57}
Ciclo 10: {'Temperatura': 27.89, 'Umidade': 43.67, 'Pressao': 1008.01}
Ciclo 11: {'Temperatura': 23.26, 'Umidade': 40.79, 'Pressao': 1011.44}
Ciclo 12: {'Temperatura': 21.68, 'Umidade': 54.96, 'Pressao': 1001.77}
Ciclo 13: {'Temperatura': 28.28, 'Umidade': 46.26, 'Pressao': 1010.88}
Ciclo 14: {'Temperatura': 25.29, 'Umidade': 55.15, 'Pressao': 1004.25}
Ciclo 15: {'Temperatura': 23.58, 'Umidade': 44.98, 'Pressao': 1011.87}
Ciclo 16: {'Temperatura': 25.11, 'Umidade': 56.07, 'Pressao': 1010.73}
Ciclo 17: {'Temperatura': 27.95, 'Umidade': 41.3, 'Pressao': 1009.3}
Ciclo 18: {'Temperatura': 20.53, 'Umidade': 53.73, 'Pressao': 1016.53}
Ciclo 19: {'Temperatura': 25.12, 'Umidade': 54.32, 'Pressao': 1012.03}
Ciclo 20: {'Temperatura': 22.18, 'Umidade': 41.78, 'Pressao': 1010.61}
Ciclo 21: {'Temperatura': 29.63, 'Umidade': 43.98, 'Pressao': 1004.31}
Ciclo 22: {'Temperatura': 29.08, 'Umidade': 52.65, 'Pressao': 1005.62}
Ciclo 23: {'Temperatura': 28.02, 'Umidade': 51.48, 'Pressao': 1005.12}
Ciclo 24: {'Temperatura': 24.6, 'Umidade': 49.38, 'Pressao': 1011.14}
Ciclo 25: {'Temperatura': 23.76, 'Umidade': 41.22, 'Pressao': 1019.36}
Ciclo 26: {'Temperatura': 20.19, 'Umidade': 48.8, 'Pressao': 1000.97}
Ciclo 27: {'Temperatura': 23.34, 'Umidade': 46.15, 'Pressao': 1014.98}
Ciclo 28: {'Temperatura': 20.15, 'Umidade': 46.49, 'Pressao': 1017.57}
Ciclo 29: {'Temperatura': 25.52, 'Umidade': 41.09, 'Pressao': 1019.23}
Ciclo 30: {'Temperatura': 22.57, 'Umidade': 54.36, 'Pressao': 1013.85}
Ciclo 31: {'Temperatura': 29.75, 'Umidade': 49.85, 'Pressao': 1019.94}
Ciclo 32: {'Temperatura': 23.74, 'Umidade': 42.8, 'Pressao': 1015.47}
Ciclo 33: {'Temperatura': 24.24, 'Umidade': 53.29, 'Pressao': 1018.24}
Ciclo 34: {'Temperatura': 20.51, 'Umidade': 59.4, 'Pressao': 1007.46}
Ciclo 35: {'Temperatura': 29.2, 'Umidade': 51.26, 'Pressao': 1016.3}
Ciclo 36: {'Temperatura': 23.32, 'Umidade': 48.81, 'Pressao': 1011.17}
Ciclo 37: {'Temperatura': 28.43, 'Umidade': 43.75, 'Pressao': 1000.7}
Ciclo 38: {'Temperatura': 28.2, 'Umidade': 50.81, 'Pressao': 1006.73}
Ciclo 39: {'Temperatura': 21.62, 'Umidade': 47.67, 'Pressao': 1014.16}
Ciclo 40: {'Temperatura': 25.1, 'Umidade': 41.12, 'Pressao': 1012.2}
Ciclo 41: {'Temperatura': 27.8, 'Umidade': 49.54, 'Pressao': 1015.03}
Ciclo 42: {'Temperatura': 22.79, 'Umidade': 41.6, 'Pressao': 1002.77}
Ciclo 43: {'Temperatura': 24.93, 'Umidade': 43.22, 'Pressao': 1013.17}
Ciclo 44: {'Temperatura': 21.08, 'Umidade': 41.28, 'Pressao': 1016.6}
Ciclo 45: {'Temperatura': 27.91, 'Umidade': 48.01, 'Pressao': 1014.93}
Ciclo 46: {'Temperatura': 24.77, 'Umidade': 59.5, 'Pressao': 1007.49}
Ciclo 47: {'Temperatura': 21.48, 'Umidade': 57.67, 'Pressao': 1011.52}
Ciclo 48: {'Temperatura': 21.7, 'Umidade': 57.01, 'Pressao': 1005.92}
Ciclo 49: {'Temperatura': 22.48, 'Umidade': 45.96, 'Pressao': 1003.65}
Ciclo 50: {'Temperatura': 20.69, 'Umidade': 56.24, 'Pressao': 1018.45}
Ciclo 51: {'Temperatura': 22.22, 'Umidade': 56.71, 'Pressao': 1001.83}
Ciclo 52: {'Temperatura': 22.59, 'Umidade': 57.32, 'Pressao': 1006.44}
Ciclo 53: {'Temperatura': 24.88, 'Umidade': 59.88, 'Pressao': 1003.72}
Ciclo 54: {'Temperatura': 26.84, 'Umidade': 45.82, 'Pressao': 1017.96}
Ciclo 55: {'Temperatura': 29.59, 'Umidade': 45.21, 'Pressao': 1004.01}
Ciclo 56: {'Temperatura': 28.29, 'Umidade': 40.04, 'Pressao': 1003.36}
